Date_reported,Cumulative_cases
24-11-2021,7219357
25-11-2021,7251808
26-11-2021,7285128
27-11-2021,7319379
28-11-2021,7356516
29-11-2021,7388158
30-11-2021,7394139
01-12-2021,7441114
02-12-2021,7490677
03-12-2021,7538806
04-12-2021,7588355
05-12-2021,7639878
06-12-2021,7682100
07-12-2021,7690630
08-12-2021,7749426
09-12-2021,7810574
10-12-2021,7867183
11-12-2021,7922203
12-12-2021,7975850
13-12-2021,8019698
14-12-2021,8028132
15-12-2021,8091255
16-12-2021,8156841
17-12-2021,8217488
18-12-2021,8275402
19-12-2021,8333811
20-12-2021,8382284
21-12-2021,8396968
22-12-2021,8469602
23-12-2021,8549169
24-12-2021,8640457
25-12-2021,8733989
26-12-2021,8838494
27-12-2021,8866191
28-12-2021,8895958
29-12-2021,9070254
30-12-2021,9277946
31-12-2021,9482582
01-01-2022,9712530
02-01-2022,9931656
03-01-2022,9990088
04-01-2022,10052892
05-01-2022,10314433
06-01-2022,10643991
07-01-2022,10902236
08-01-2022,11224563
09-01-2022,11528232
10-01-2022,11818289
11-01-2022,11906906
12-01-2022,12250070
13-01-2022,12608114
14-01-2022,12907755
15-01-2022,13216663
16-01-2022,13541243
17-01-2022,13819372
18-01-2022,13918264
19-01-2022,14346693
20-01-2022,14779422
21-01-2022,15201229
22-01-2022,15580826
23-01-2022,15968298
24-01-2022,16269637
25-01-2022,16330332
26-01-2022,16830895
27-01-2022,17252793
28-01-2022,17643246
29-01-2022,17980521
30-01-2022,18311269
31-01-2022,18551940
01-02-2022,18634318
02-02-2022,19001742
03-02-2022,19313381
04-02-2022,19587560
05-02-2022,19827315
06-02-2022,20040681
07-02-2022,20190394
08-02-2022,20236088
09-02-2022,20437307
10-02-2022,20613808
11-02-2022,20766817
12-02-2022,20896608
13-02-2022,21014182
14-02-2022,21100744
15-02-2022,21127104
16-02-2022,21245489
17-02-2022,21344186
18-02-2022,21436504
19-02-2022,21514914
20-02-2022,21587922
21-02-2022,21646855
22-02-2022,21650335
23-02-2022,21746279
24-02-2022,21813080
25-02-2022,21879794
26-02-2022,21933156
27-02-2022,21986779
28-02-2022,22029348
01-03-2022,22032795
02-03-2022,22112500
03-03-2022,22168714
04-03-2022,22228649
05-03-2022,22284363
06-03-2022,22336812
07-03-2022,22382140
08-03-2022,22383383
09-03-2022,22472929
10-03-2022,22540186
11-03-2022,22613077
12-03-2022,22681829
13-03-2022,22754272
14-03-2022,22814694
15-03-2022,22824680
16-03-2022,22938252
17-03-2022,23045477
18-03-2022,23145996
19-03-2022,23238512
20-03-2022,23336616
21-03-2022,23417844
22-03-2022,23441446
23-03-2022,23610353
24-03-2022,23755304
25-03-2022,23903547
26-03-2022,24042735
27-03-2022,24181735
28-03-2022,24291909
29-03-2022,24311608
30-03-2022,24527949
31-03-2022,24696973
01-04-2022,24864785
02-04-2022,25008757
03-04-2022,25140871
04-04-2022,25243137
05-04-2022,25259789
06-04-2022,25461784
07-04-2022,25623734
08-04-2022,25781400
09-04-2022,25926517
10-04-2022,26067892
11-04-2022,26175546
12-04-2022,26201038
13-04-2022,26379012
14-04-2022,26525319
15-04-2022,26661743
16-04-2022,26783974
17-04-2022,26895242
18-04-2022,26981892
19-04-2022,27001702
20-04-2022,27027167
21-04-2022,27182878
22-04-2022,27272068
23-04-2022,27357567
24-04-2022,27438138
25-04-2022,27497092
26-04-2022,27511076
27-04-2022,27595685
28-04-2022,27663396
29-04-2022,27720499
30-04-2022,27770864
01-05-2022,27820346
02-05-2022,27857072
03-05-2022,27865809
04-05-2022,27921895
05-05-2022,27969820
06-05-2022,28012023
07-05-2022,28049560
08-05-2022,28087518
09-05-2022,28116842
10-05-2022,28124196
11-05-2022,28172780
12-05-2022,28213067
13-05-2022,28244891
14-05-2022,28274991
15-05-2022,28305450
16-05-2022,28322751
17-05-2022,28328687
18-05-2022,28372311
19-05-2022,28402306
20-05-2022,28425268
21-05-2022,28446211
22-05-2022,28468718
23-05-2022,28485683
24-05-2022,28486817
25-05-2022,28518846
26-05-2022,28540850
27-05-2022,28561445
28-05-2022,28566256
29-05-2022,28581894
30-05-2022,28598276
31-05-2022,28602949
01-06-2022,28636033
02-06-2022,28662101
03-06-2022,28687466
04-06-2022,28710050
05-06-2022,28729797
06-06-2022,28750339
07-06-2022,28756523
08-06-2022,28766226
09-06-2022,28819931
10-06-2022,28860082
11-06-2022,28866080
12-06-2022,28872155
13-06-2022,28950169
14-06-2022,28958643
15-06-2022,29024068
16-06-2022,29075953
17-06-2022,29129034
18-06-2022,29168275
19-06-2022,29218541
20-06-2022,29258666
21-06-2022,29268929
22-06-2022,29364146
23-06-2022,29442113
24-06-2022,29521908
25-06-2022,29590509
26-06-2022,29671435
27-06-2022,29737736
28-06-2022,29753837
29-06-2022,29901085
30-06-2022,30025809
01-07-2022,30159074
02-07-2022,30274509
03-07-2022,30397148
04-07-2022,30493339
05-07-2022,30517757
06-07-2022,30724311
07-07-2022,30875876
08-07-2022,31037063
09-07-2022,31168408
10-07-2022,31284813
11-07-2022,31395402
12-07-2022,31419745
13-07-2022,31601751
14-07-2022,31729280
15-07-2022,31844704
16-07-2022,31859615
17-07-2022,31983624
18-07-2022,32057292
19-07-2022,32075025
20-07-2022,32209213
21-07-2022,32294960
22-07-2022,32375584
23-07-2022,32443171
24-07-2022,32511703
25-07-2022,32561735
26-07-2022,32572930
27-07-2022,32654748
28-07-2022,32713386
29-07-2022,32763904
30-07-2022,32804128
31-07-2022,32845406
01-08-2022,32876941
02-08-2022,32884190
03-08-2022,32938295
04-08-2022,32971260
05-08-2022,33005011
06-08-2022,33031477
07-08-2022,33059995
08-08-2022,33081523
09-08-2022,33086613
10-08-2022,33124824
11-08-2022,33151905
12-08-2022,33171315
13-08-2022,33191126
14-08-2022,33212301
15-08-2022,33228648
16-08-2022,33233212
17-08-2022,33239537
18-08-2022,33270189
19-08-2022,33293460
20-08-2022,33311720
21-08-2022,33331590
22-08-2022,33346401
23-08-2022,33350413
24-08-2022,33379401
25-08-2022,33400690
26-08-2022,33414541
27-08-2022,33430858
28-08-2022,33448691
29-08-2022,33462789
30-08-2022,33466595
31-08-2022,33493953
01-09-2022,33513193
02-09-2022,33524585
03-09-2022,33540984
04-09-2022,33556581
05-09-2022,33569467
06-09-2022,33572910
07-09-2022,33599828
08-09-2022,33615309
09-09-2022,33635109
10-09-2022,33650147
11-09-2022,33669664
12-09-2022,33686086
13-09-2022,33690665
14-09-2022,33732515
15-09-2022,33763518
16-09-2022,33796636
17-09-2022,33825322
18-09-2022,33858484
19-09-2022,33881621
20-09-2022,33886832
21-09-2022,33938648
22-09-2022,33976898
